preset,condition,n,L1_mean,L2_mean,L6_mean
qwen3.5-0.8b-it,bacon,25004,1.1567,0.0275,0.069
qwen3.5-0.8b-it,baseline,26787,1.0038,,
qwen3.5-0.8b-it,confucian,25063,1.5331,0.2351,0.0016
qwen3.5-0.8b-it,cot,23319,37.6686,,
qwen3.5-0.8b-it,dao,25179,1.429,0.0824,0.0
qwen3.5-0.8b-it,falsificationist,24959,1.5651,0.0753,0.0001
qwen3.5-0.8b-it,hegelian,24978,1.4312,0.1038,0.0356
qwen3.5-0.8b-it,legal,25868,1.6668,0.1158,0.0144
qwen3.5-0.8b-it,logician,25116,1.3759,0.058,0.0
qwen3.5-0.8b-it,military,25055,1.872,0.1472,0.0
qwen3.5-0.8b-it,mohist,28025,0.699,0.7326,0.6689
qwen3.5-0.8b-it,neutral_long,39477,1.7107,,
qwen3.5-0.8b-it,pragmatist,24991,1.3413,0.0466,0.0
qwen3.5-0.8b-it,socratic,24983,11.8099,0.0821,0.0087
qwen3.5-0.8b-it,stoic,24954,1.3925,0.0501,0.0
qwen3.5-0.8b-it,wittgenstein,24956,1.4871,0.0415,0.0001
qwen3.5-0.8b-it,yangming,25004,1.8162,0.0582,0.0
qwen3.5-27b-it,bacon,25078,32.8813,0.0938,0.3546
qwen3.5-27b-it,baseline,25471,1.0267,,
qwen3.5-27b-it,confucian,25069,3.1884,0.2515,0.0005
qwen3.5-27b-it,cot,23393,51.6658,,
qwen3.5-27b-it,dao,25108,3.167,0.1566,0.0001
qwen3.5-27b-it,falsificationist,25040,33.0447,0.2426,0.0014
qwen3.5-27b-it,hegelian,25059,33.0143,0.2079,0.0
qwen3.5-27b-it,legal,25870,31.5729,0.1977,0.002
qwen3.5-27b-it,logician,25121,32.526,0.162,0.0
qwen3.5-27b-it,military,25062,32.4938,0.2215,0.0
qwen3.5-27b-it,mohist,27028,29.9062,0.7287,0.6693
qwen3.5-27b-it,neutral_long,38932,1.001,,
qwen3.5-27b-it,pragmatist,25065,33.0422,0.1377,0.0
qwen3.5-27b-it,socratic,25062,33.0833,0.1722,0.1884
qwen3.5-27b-it,stoic,25039,32.9642,0.071,0.0
qwen3.5-27b-it,wittgenstein,25031,33.02,0.243,0.0
qwen3.5-27b-it,yangming,25086,33.1112,0.25,0.0002
qwen3.5-2b-it,bacon,25084,1.1114,0.0578,0.1259
qwen3.5-2b-it,baseline,26787,1.0029,,
qwen3.5-2b-it,confucian,25070,1.2897,0.2276,0.0008
qwen3.5-2b-it,cot,23394,20.2754,,
qwen3.5-2b-it,dao,25184,1.2576,0.1081,0.0001
qwen3.5-2b-it,falsificationist,25041,1.2338,0.0521,0.0
qwen3.5-2b-it,hegelian,25061,2.376,0.1972,0.023
qwen3.5-2b-it,legal,25871,1.1628,0.118,0.0148
qwen3.5-2b-it,logician,25121,1.2285,0.093,0.0
qwen3.5-2b-it,military,25062,1.5316,0.1246,0.0
qwen3.5-2b-it,mohist,28028,0.6476,0.7279,0.8031
qwen3.5-2b-it,neutral_long,39477,0.9788,,
qwen3.5-2b-it,pragmatist,25070,1.233,0.0446,0.0
qwen3.5-2b-it,socratic,25064,18.084,0.0881,0.0352
qwen3.5-2b-it,stoic,25041,1.0428,0.0319,0.0
qwen3.5-2b-it,wittgenstein,25040,1.2458,0.0505,0.0
qwen3.5-2b-it,yangming,25091,1.4472,0.0748,0.0
qwen3.5-4b-it,bacon,25084,35.2268,0.1287,0.3548
qwen3.5-4b-it,baseline,26787,1.0013,,
qwen3.5-4b-it,confucian,25070,3.7629,0.2708,0.0007
qwen3.5-4b-it,cot,23394,55.2477,,
qwen3.5-4b-it,dao,25184,3.3939,0.1064,0.0001
qwen3.5-4b-it,falsificationist,25041,35.2017,0.2422,0.0003
qwen3.5-4b-it,hegelian,25061,37.8569,0.2353,0.0001
qwen3.5-4b-it,legal,25871,3.3422,0.1448,0.0103
qwen3.5-4b-it,logician,25121,3.6416,0.1163,0.0
qwen3.5-4b-it,military,25062,3.5949,0.1738,0.0
qwen3.5-4b-it,mohist,28028,2.6859,0.73,0.7052
qwen3.5-4b-it,neutral_long,39477,0.9961,,
qwen3.5-4b-it,pragmatist,25070,35.2889,0.1344,0.0
qwen3.5-4b-it,socratic,25064,35.1468,0.1635,0.1171
qwen3.5-4b-it,stoic,25041,35.0835,0.1125,0.0
qwen3.5-4b-it,wittgenstein,25040,35.2917,0.2431,0.0032
qwen3.5-4b-it,yangming,25091,35.1837,0.2474,0.0001
qwen3.5-9b-it,bacon,25084,35.2005,0.0714,0.3547
qwen3.5-9b-it,baseline,26606,1.0005,,
qwen3.5-9b-it,confucian,25070,3.6388,0.2738,0.0004
qwen3.5-9b-it,cot,23394,54.351,,
qwen3.5-9b-it,dao,25184,3.456,0.1119,0.0001
qwen3.5-9b-it,falsificationist,25041,35.1675,0.2423,0.0003
qwen3.5-9b-it,hegelian,25061,36.1477,0.2012,0.0
qwen3.5-9b-it,legal,25871,3.4683,0.1521,0.0133
qwen3.5-9b-it,logician,25121,3.6628,0.1515,0.0
qwen3.5-9b-it,military,25062,3.7689,0.1924,0.0
qwen3.5-9b-it,mohist,27778,2.8904,0.7316,0.6245
qwen3.5-9b-it,neutral_long,39477,0.9858,,
qwen3.5-9b-it,pragmatist,25070,35.2814,0.1147,0.0
qwen3.5-9b-it,socratic,25064,35.065,0.164,0.1659
qwen3.5-9b-it,stoic,25041,35.0461,0.0984,0.0
qwen3.5-9b-it,wittgenstein,25040,35.7943,0.2426,0.0007
qwen3.5-9b-it,yangming,25091,35.4095,0.248,0.0002
