condition,benchmark,delta_mean,delta_std,n_models
confucian,humaneval,23.323170731707318,36.45768709945382,4
confucian,mmlu,-2.649195271328866,3.94997042893097,4
confucian,gsm8k,-3.6896638867829132,4.2314467238402855,6
confucian,truthfulqa,-4.804161566707469,14.245821116815378,4
confucian,ifeval,-10.104744300677758,4.593137997688779,6
confucian,bbh,-12.69390262632468,4.654794937919514,4
dao,humaneval,23.628048780487806,34.37919660536902,4
dao,truthfulqa,0.12239902080782983,8.285850208070825,4
dao,ifeval,-0.8317929759704276,1.0174757075432777,6
dao,mmlu,-0.8634809856145829,1.4225571536778638,4
dao,gsm8k,-9.009350518069244,6.2467919593265036,6
dao,bbh,-19.751190293349715,6.384792564703356,4
legal,humaneval,22.103658536585368,35.7262787574198,4
legal,truthfulqa,0.979192166462667,5.126166852233029,4
legal,mmlu,-0.9008688221051067,3.4907447553196973,4
legal,gsm8k,-7.063431892848115,5.842660457885416,6
legal,bbh,-13.788204576869912,6.424647479975969,4
legal,ifeval,-18.607516943930992,9.515130432685433,6
logician,humaneval,22.86585365853658,34.85935311083625,4
logician,mmlu,-2.7880643782936883,3.2623303206088115,4
logician,truthfulqa,-7.466340269277844,7.636626524011305,4
logician,gsm8k,-7.884761182714178,4.539287289357027,6
logician,ifeval,-12.045594577942085,7.102794748425317,6
logician,bbh,-30.778682230072185,19.438739847389645,4
military,humaneval,17.225609756097562,32.450541234513324,4
military,mmlu,-0.8296538954564863,2.970709702351327,4
military,truthfulqa,-2.9681762545899666,3.8555691554467515,4
military,gsm8k,-8.832448824867322,13.385569139275024,6
military,ifeval,-14.941466420209489,7.09413084376817,6
military,bbh,-30.9476270926125,12.275931981511237,4
mohist,bbh,2.154046997389033,8.58776804612995,4
mohist,mmlu,0.3471727674120544,1.3580392736251006,4
mohist,truthfulqa,-0.30599755201958434,6.747506219014793,4
mohist,humaneval,-5.640243902439025,30.88110142374724,4
mohist,ifeval,-5.6685150955021575,4.032230749279624,6
mohist,gsm8k,-14.556482183472324,10.844144172089667,6
