preset,benchmark,condition,n,err,acc,strict_prompt,loose_prompt,strict_inst,loose_inst,base_acc,delta
gemma4-e2b-it,gsm8k,mohist,1319,0,82.86580742987113,,,,,90.82638362395754,-7.960576194086414
gemma4-e2b-it,gsm8k,baseline,1319,0,90.82638362395754,,,,,90.82638362395754,0.0
gemma4-e2b-it,gsm8k,neutral_long,1319,0,90.37149355572403,,,,,90.82638362395754,-0.4548900682335102
gemma4-e2b-it,gsm8k,legal,1319,0,90.14404852160727,,,,,90.82638362395754,-0.6823351023502653
gemma4-e2b-it,gsm8k,logician,1319,0,89.38589840788475,,,,,90.82638362395754,-1.440485216072787
gemma4-e2b-it,gsm8k,military,1319,0,89.68915845337376,,,,,90.82638362395754,-1.1372251705837755
gemma4-e2b-it,gsm8k,confucian,1319,0,90.06823351023503,,,,,90.82638362395754,-0.7581501137225075
gemma4-e2b-it,gsm8k,dao,1319,0,89.31008339651251,,,,,90.82638362395754,-1.5163002274450292
gemma4-e2b-it,ifeval,legal,541,0,65.80406654343808,0.6580406654343808,0.678373382624769,0.8154929577464789,0.8366197183098592,70.0554528650647,-4.251386321626612
gemma4-e2b-it,ifeval,neutral_long,541,0,69.50092421441775,0.6950092421441775,0.7060998151571165,0.847887323943662,0.8605633802816901,70.0554528650647,-0.5545286506469438
gemma4-e2b-it,ifeval,baseline,541,0,70.0554528650647,0.7005545286506469,0.7171903881700554,0.8492957746478873,0.8661971830985915,70.0554528650647,0.0
gemma4-e2b-it,ifeval,mohist,541,0,65.61922365988909,0.6561922365988909,0.6691312384473198,0.8070422535211268,0.8211267605633803,70.0554528650647,-4.436229205175607
gemma4-e2b-it,ifeval,dao,541,0,70.24029574861368,0.7024029574861368,0.7208872458410351,0.856338028169014,0.8718309859154929,70.0554528650647,0.18484288354898126
gemma4-e2b-it,ifeval,confucian,541,0,65.61922365988909,0.6561922365988909,0.6820702402957486,0.8183098591549296,0.8422535211267606,70.0554528650647,-4.436229205175607
gemma4-e2b-it,ifeval,logician,541,0,64.14048059149722,0.6414048059149723,0.66728280961183,0.7985915492957747,0.8253521126760563,70.0554528650647,-5.9149722735674715
gemma4-e2b-it,ifeval,military,541,0,66.72828096118299,0.66728280961183,0.6913123844731978,0.8225352112676056,0.8450704225352113,70.0554528650647,-3.3271719038817054
qwen3.5-0.8b-it,gsm8k,mohist,1319,0,26.838514025777105,,,,,53.67702805155421,-26.838514025777105
qwen3.5-0.8b-it,gsm8k,neutral_long,1319,0,53.82865807429871,,,,,53.67702805155421,0.15163002274449866
qwen3.5-0.8b-it,gsm8k,baseline,1319,0,53.67702805155421,,,,,53.67702805155421,0.0
qwen3.5-0.8b-it,gsm8k,legal,1319,0,39.72706595905989,,,,,53.67702805155421,-13.949962092494317
qwen3.5-0.8b-it,gsm8k,dao,1319,0,40.1819560272934,,,,,53.67702805155421,-13.495072024260807
qwen3.5-0.8b-it,gsm8k,confucian,1319,0,48.29416224412434,,,,,53.67702805155421,-5.382865807429873
qwen3.5-0.8b-it,gsm8k,military,1319,0,18.57467778620167,,,,,53.67702805155421,-35.10235026535254
qwen3.5-0.8b-it,gsm8k,logician,1319,0,44.275966641395,,,,,53.67702805155421,-9.401061410159208
qwen3.5-0.8b-it,ifeval,legal,541,0,34.195933456561924,0.3419593345656192,0.3955637707948244,0.5070422535211268,0.5633802816901409,46.58040665434381,-12.384473197781887
qwen3.5-0.8b-it,ifeval,neutral_long,541,0,50.27726432532348,0.5027726432532348,0.5360443622920518,0.6464788732394366,0.6873239436619718,46.58040665434381,3.696857670979668
qwen3.5-0.8b-it,ifeval,mohist,541,0,46.950092421441774,0.46950092421441775,0.49168207024029575,0.6253521126760564,0.6563380281690141,46.58040665434381,0.3696857670979625
qwen3.5-0.8b-it,ifeval,baseline,541,0,46.58040665434381,0.4658040665434381,0.5083179297597042,0.6225352112676056,0.6732394366197183,46.58040665434381,0.0
qwen3.5-0.8b-it,ifeval,military,541,0,36.59889094269871,0.3659889094269871,0.40850277264325324,0.5366197183098591,0.5830985915492958,46.58040665434381,-9.981515711645102
qwen3.5-0.8b-it,ifeval,logician,541,0,40.29574861367837,0.4029574861367837,0.45471349353049906,0.5690140845070423,0.6225352112676056,46.58040665434381,-6.284658040665441
qwen3.5-0.8b-it,ifeval,dao,541,0,43.992606284658045,0.4399260628465804,0.4805914972273567,0.5859154929577465,0.6408450704225352,46.58040665434381,-2.587800369685766
qwen3.5-0.8b-it,ifeval,confucian,541,0,39.00184842883549,0.3900184842883549,0.4491682070240296,0.5380281690140845,0.6028169014084507,46.58040665434381,-7.578558225508324
qwen3.5-27b-it,gsm8k,baseline,1319,0,96.73995451099317,,,,,96.73995451099317,0.0
qwen3.5-27b-it,ifeval,baseline,541,0,77.81885397412199,0.7781885397412199,0.8170055452865065,0.9169014084507042,0.9478873239436619,77.81885397412199,0.0
qwen3.5-27b-it,gsm8k,neutral_long,1319,0,97.1948445792267,,,,,96.73995451099317,0.4548900682335244
qwen3.5-27b-it,ifeval,neutral_long,541,0,78.00369685767097,0.7800369685767098,0.8077634011090573,0.9183098591549296,0.9422535211267605,77.81885397412199,0.18484288354898126
qwen3.5-27b-it,gsm8k,dao,1319,0,94.46550416982562,,,,,96.73995451099317,-2.274450341167551
qwen3.5-27b-it,ifeval,dao,541,0,76.89463955637707,0.7689463955637708,0.7985212569316081,0.9098591549295775,0.9352112676056338,77.81885397412199,-0.9242144177449205
qwen3.5-27b-it,gsm8k,confucian,1319,0,96.43669446550417,,,,,96.73995451099317,-0.3032600454889973
qwen3.5-27b-it,ifeval,confucian,541,0,70.60998151571165,0.7060998151571165,0.7412199630314233,0.8464788732394366,0.8760563380281691,77.81885397412199,-7.20887245841034
qwen3.5-27b-it,gsm8k,legal,1319,0,93.32827899924186,,,,,96.73995451099317,-3.4116755117513122
qwen3.5-27b-it,ifeval,legal,541,0,46.58040665434381,0.4658040665434381,0.4953789279112754,0.6253521126760564,0.6549295774647887,77.81885397412199,-31.23844731977818
qwen3.5-27b-it,gsm8k,military,1319,0,96.13343442001516,,,,,96.73995451099317,-0.6065200909780089
qwen3.5-27b-it,ifeval,military,541,0,55.637707948244,0.55637707948244,0.5822550831792976,0.7084507042253522,0.7366197183098592,77.81885397412199,-22.181146025877993
qwen3.5-27b-it,gsm8k,mohist,1319,0,95.75435936315391,,,,,96.73995451099317,-0.9855951478392626
qwen3.5-27b-it,ifeval,mohist,541,0,67.28280961182995,0.6728280961182994,0.6950092421441775,0.8253521126760563,0.8464788732394366,77.81885397412199,-10.536044362292046
qwen3.5-27b-it,gsm8k,logician,1319,0,93.4040940106141,,,,,96.73995451099317,-3.33586050037907
qwen3.5-27b-it,ifeval,logician,541,0,58.04066543438078,0.5804066543438078,0.6136783733826248,0.747887323943662,0.7788732394366197,77.81885397412199,-19.778188539741215
qwen3.5-2b-it,gsm8k,mohist,1319,0,50.644427596664144,,,,,78.84761182714178,-28.203184230477632
qwen3.5-2b-it,gsm8k,neutral_long,1319,0,77.25549658832449,,,,,78.84761182714178,-1.5921152388172857
